[BOOT] M2M post-only binance ↔ kucoin ETH/USDC
[SNAP] {'binance': {'USDC': 24.987513305446793, 'BTC': 0.002205411651549825}, 'kucoin': {'USDC': 249.96999800029994, 'BTC': 7.099926369351147e-05}}
[EDGE] AB=-2.59bps BA=0.20bps | A=None | B=None
[EDGE] AB=-3.08bps BA=2.73bps | A=None | B=None
[EDGE] AB=-3.05bps BA=2.73bps | A=None | B=None
[EDGE] AB=-3.02bps BA=2.73bps | A=None | B=None
[EDGE] AB=-2.96bps BA=2.73bps | A=None | B=None
[EDGE] AB=-2.93bps BA=2.73bps | A=None | B=None
[EDGE] AB=-2.85bps BA=2.53bps | A=None | B=None
[EDGE] AB=-2.76bps BA=2.53bps | A=None | B=None
[EDGE] AB=-2.73bps BA=2.53bps | A=None | B=None
[EDGE] AB=-2.70bps BA=2.64bps | A=None | B=None
[EDGE] AB=-2.70bps BA=2.64bps | A=None | B=None
[EDGE] AB=-2.70bps BA=2.64bps | A=None | B=None
[EDGE] AB=-2.70bps BA=2.64bps | A=None | B=None
[EDGE] AB=-2.70bps BA=2.64bps | A=None | B=None
[EDGE] AB=-2.61bps BA=2.32bps | A=None | B=None
[EDGE] AB=-2.58bps BA=1.48bps | A=None | B=None
[EDGE] AB=-2.50bps BA=1.51bps | A=None | B=None
[EDGE] AB=-2.50bps BA=2.38bps | A=None | B=None
[EDGE] AB=-1.48bps BA=0.78bps | A=None | B=None
[EDGE] AB=-2.70bps BA=0.78bps | A=None | B=None
[EDGE] AB=-1.36bps BA=0.90bps | A=None | B=None
[EDGE] AB=-2.03bps BA=1.97bps | A=None | B=None
[EDGE] AB=-2.00bps BA=1.95bps | A=None | B=None
[EDGE] AB=-2.00bps BA=1.95bps | A=None | B=None
[EDGE] AB=-2.00bps BA=1.95bps | A=None | B=None
[EDGE] AB=-2.00bps BA=1.95bps | A=None | B=None
[EDGE] AB=-2.00bps BA=1.95bps | A=None | B=None
[EDGE] AB=-2.03bps BA=0.61bps | A=None | B=None
[EDGE] AB=-1.92bps BA=1.63bps | A=None | B=None
[EDGE] AB=-1.71bps BA=1.66bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.54bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.54bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.54bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.54bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.54bps | A=None | B=None
[EDGE] AB=-1.60bps BA=0.75bps | A=None | B=None
[EDGE] AB=-1.60bps BA=0.75bps | A=None | B=None
[EDGE] AB=-1.57bps BA=1.51bps | A=None | B=None
[EDGE] AB=-1.57bps BA=1.51bps | A=None | B=None
[EDGE] AB=-1.31bps BA=0.81bps | A=None | B=None
[EDGE] AB=-1.31bps BA=0.81bps | A=None | B=None
[EDGE] AB=-1.31bps BA=1.25bps | A=None | B=None
[EDGE] AB=-1.95bps BA=1.89bps | A=None | B=None
[EDGE] AB=-1.68bps BA=1.63bps | A=None | B=None
[EDGE] AB=-1.68bps BA=1.63bps | A=None | B=None
[EDGE] AB=-1.68bps BA=1.63bps | A=None | B=None
[EDGE] AB=-1.68bps BA=1.63bps | A=None | B=None
[EDGE] AB=-1.10bps BA=1.05bps | A=None | B=None
[EDGE] AB=-1.10bps BA=1.05bps | A=None | B=None
[EDGE] AB=-2.00bps BA=1.95bps | A=None | B=None
[EDGE] AB=-1.80bps BA=1.74bps | A=None | B=None
[EDGE] AB=-1.80bps BA=1.74bps | A=None | B=None
[EDGE] AB=-2.38bps BA=2.32bps | A=None | B=None
[EDGE] AB=-1.48bps BA=0.35bps | A=None | B=None
[EDGE] AB=-1.48bps BA=1.34bps | A=None | B=None
[EDGE] AB=-0.84bps BA=0.70bps | A=None | B=None
[EDGE] AB=-0.84bps BA=0.78bps | A=None | B=None
[EDGE] AB=-1.95bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.92bps BA=1.86bps | A=None | B=None
[EDGE] AB=-1.89bps BA=1.80bps | A=None | B=None
[EDGE] AB=-1.89bps BA=1.80bps | A=None | B=None
[EDGE] AB=-1.86bps BA=1.80bps | A=None | B=None
[EDGE] AB=-1.86bps BA=1.80bps | A=None | B=None
[EDGE] AB=-1.71bps BA=1.16bps | A=None | B=None
[EDGE] AB=-1.71bps BA=1.16bps | A=None | B=None
[EDGE] AB=-1.71bps BA=1.66bps | A=None | B=None
[EDGE] AB=-1.71bps BA=1.66bps | A=None | B=None
[EDGE] AB=-1.57bps BA=1.22bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.22bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.22bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.22bps | A=None | B=None
[EDGE] AB=-1.45bps BA=1.22bps | A=None | B=None
[EDGE] AB=-1.42bps BA=1.28bps | A=None | B=None
[EDGE] AB=-1.42bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.39bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.37bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.37bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.37bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.37bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.37bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.37bps BA=1.31bps | A=None | B=None
[EDGE] AB=-1.34bps BA=1.28bps | A=None | B=None
[EDGE] AB=-2.93bps BA=2.27bps | A=None | B=None
[EDGE] AB=-1.45bps BA=0.38bps | A=None | B=None
[EDGE] AB=-1.45bps BA=1.39bps | A=None | B=None
[EDGE] AB=-1.57bps BA=1.51bps | A=None | B=None
[EDGE] AB=-2.53bps BA=2.47bps | A=None | B=None
[EDGE] AB=-1.66bps BA=1.60bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.60bps BA=1.10bps | A=None | B=None
[EDGE] AB=-3.31bps BA=1.74bps | A=None | B=None
[EDGE] AB=-0.78bps BA=0.73bps | A=None | B=None
[EDGE] AB=-1.48bps BA=1.42bps | A=None | B=None
[EDGE] AB=-1.48bps BA=1.42bps | A=None | B=None
[EDGE] AB=-1.48bps BA=1.42bps | A=None | B=None
[EDGE] AB=-1.48bps BA=1.42bps | A=None | B=None
[BOOT] M2M post-only binance ↔ kucoin BTC/USDC
[SNAP] {'binance': {'USDC': 24.987513305446793, 'BTC': 0.002205411651549825}, 'kucoin': {'USDC': 249.96999800029994, 'BTC': 7.099926369351147e-05}}
[EDGE] AB=-0.45bps BA=0.44bps | A=None | B=None
[EDGE] AB=-1.88bps BA=0.44bps | A=None | B=None
[EDGE] AB=0.38bps BA=-0.39bps | A=None | B=None
[EDGE] AB=-0.78bps BA=-0.39bps | A=None | B=None
[EDGE] AB=-0.76bps BA=0.75bps | A=None | B=None
[EDGE] AB=5.17bps BA=-5.18bps | A=None | B=None
[EDGE] AB=-0.62bps BA=0.61bps | A=None | B=None
[EDGE] AB=-1.11bps BA=1.10bps | A=None | B=None
[EDGE] AB=-0.11bps BA=0.10bps | A=None | B=None
[EDGE] AB=-0.54bps BA=0.53bps | A=None | B=None
[EDGE] AB=-0.54bps BA=0.53bps | A=None | B=None
[EDGE] AB=-0.54bps BA=0.53bps | A=None | B=None
[EDGE] AB=0.03bps BA=-0.04bps | A=None | B=None
[EDGE] AB=0.03bps BA=-0.04bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-0.52bps BA=0.51bps | A=None | B=None
[EDGE] AB=-0.40bps BA=0.39bps | A=None | B=None
[EDGE] AB=-0.40bps BA=0.39bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=-0.01bps BA=0.00bps | A=None | B=None
[EDGE] AB=0.42bps BA=-0.43bps | A=None | B=None
[EDGE] AB=0.42bps BA=-0.43bps | A=None | B=None
[EDGE] AB=0.42bps BA=-0.43bps | A=None | B=None
[EDGE] AB=-0.55bps BA=0.54bps | A=None | B=None
[EDGE] AB=0.03bps BA=-0.04bps | A=None | B=None
[EDGE] AB=0.03bps BA=-0.04bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=0.12bps BA=-0.14bps | A=None | B=None
[EDGE] AB=-0.89bps BA=0.88bps | A=None | B=None
[EDGE] AB=-0.89bps BA=0.88bps | A=None | B=None
[EDGE] AB=-0.89bps BA=0.88bps | A=None | B=None
[EDGE] AB=-0.89bps BA=0.88bps | A=None | B=None
[EDGE] AB=-0.38bps BA=0.37bps | A=None | B=None
[EDGE] AB=-0.38bps BA=0.37bps | A=None | B=None
[EDGE] AB=-0.38bps BA=0.37bps | A=None | B=None
[EDGE] AB=-0.38bps BA=0.37bps | A=None | B=None
[EDGE] AB=0.03bps BA=-0.04bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.02bps BA=0.01bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.21bps BA=0.20bps | A=None | B=None
[EDGE] AB=-0.21bps BA=0.20bps | A=None | B=None
[EDGE] AB=-0.21bps BA=0.20bps | A=None | B=None
[EDGE] AB=-0.21bps BA=0.20bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.27bps BA=-0.28bps | A=None | B=None
[EDGE] AB=0.27bps BA=-0.28bps | A=None | B=None
[EDGE] AB=0.27bps BA=-0.28bps | A=None | B=None
[EDGE] AB=-0.69bps BA=0.68bps | A=None | B=None
[EDGE] AB=0.30bps BA=-0.31bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.01bps BA=-0.02bps | A=None | B=None
[EDGE] AB=0.98bps BA=-0.99bps | A=None | B=None
[EDGE] AB=0.98bps BA=-0.99bps | A=None | B=None
[EDGE] AB=0.98bps BA=-0.99bps | A=None | B=None
[EDGE] AB=0.98bps BA=-0.99bps | A=None | B=None
[EDGE] AB=0.98bps BA=-0.99bps | A=None | B=None
[EDGE] AB=0.04bps BA=-0.05bps | A=None | B=None
[EDGE] AB=0.04bps BA=-0.05bps | A=None | B=None
[EDGE] AB=0.04bps BA=-0.05bps | A=None | B=None
[EDGE] AB=0.04bps BA=-0.05bps | A=None | B=None
[EDGE] AB=0.04bps BA=-0.05bps | A=None | B=None
[EDGE] AB=0.04bps BA=-0.05bps | A=None | B=None
[EDGE] AB=0.52bps BA=-0.53bps | A=None | B=None
[EDGE] AB=0.52bps BA=-0.53bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=-0.20bps BA=0.19bps | A=None | B=None
[EDGE] AB=0.79bps BA=-0.80bps | A=None | B=None
[EDGE] AB=0.69bps BA=-0.71bps | A=None | B=None
[EDGE] AB=0.69bps BA=-0.71bps | A=None | B=None
[EDGE] AB=0.69bps BA=-0.71bps | A=None | B=None
[EDGE] AB=0.69bps BA=-0.71bps | A=None | B=None
[EDGE] AB=1.67bps BA=-1.68bps | A=None | B=None
[EDGE] AB=1.38bps BA=-1.39bps | A=None | B=None
[EDGE] AB=1.38bps BA=-1.39bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=1.19bps BA=-1.20bps | A=None | B=None
[EDGE] AB=0.27bps BA=-0.28bps | A=None | B=None
[EDGE] AB=0.27bps BA=-0.28bps | A=None | B=None
[EDGE] AB=-0.42bps BA=0.41bps | A=None | B=None
[EDGE] AB=0.47bps BA=-0.48bps | A=None | B=None
[EDGE] AB=0.47bps BA=-0.48bps | A=None | B=None
[EDGE] AB=0.47bps BA=-0.48bps | A=None | B=None
[EDGE] AB=0.47bps BA=-0.48bps | A=None | B=None
[EDGE] AB=0.47bps BA=-0.48bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=0.34bps BA=-0.35bps | A=None | B=None
[EDGE] AB=-2.48bps BA=2.47bps | A=None | B=None
[EDGE] AB=-0.61bps BA=0.60bps | A=None | B=None
[EDGE] AB=-0.21bps BA=0.20bps | A=None | B=None
[EDGE] AB=-0.21bps BA=0.20bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-1.00bps BA=0.99bps | A=None | B=None
[EDGE] AB=-0.29bps BA=0.28bps | A=None | B=None
[EDGE] AB=-0.29bps BA=0.28bps | A=None | B=None
[EDGE] AB=-0.29bps BA=0.28bps | A=None | B=None
[EDGE] AB=-0.29bps BA=0.28bps | A=None | B=None
[EDGE] AB=-0.29bps BA=0.28bps | A=None | B=None
[EDGE] AB=-0.18bps BA=0.17bps | A=None | B=None
[EDGE] AB=-0.18bps BA=0.17bps | A=None | B=None
[EDGE] AB=0.62bps BA=-0.63bps | A=None | B=None
[EDGE] AB=0.62bps BA=-0.63bps | A=None | B=None
[EDGE] AB=0.62bps BA=-0.63bps | A=None | B=None
[EDGE] AB=0.62bps BA=-0.63bps | A=None | B=None
[EDGE] AB=0.62bps BA=-0.63bps | A=None | B=None
[EDGE] AB=0.62bps BA=-0.63bps | A=None | B=None
[EDGE] AB=2.61bps BA=-2.62bps | A=None | B=None
[EDGE] AB=-0.53bps BA=0.52bps | A=None | B=None
[EDGE] AB=0.10bps BA=-0.11bps | A=None | B=None
[EDGE] AB=0.10bps BA=-0.11bps | A=None | B=None
[EDGE] AB=0.10bps BA=-0.11bps | A=None | B=None
[EDGE] AB=0.10bps BA=-0.11bps | A=None | B=None
[EDGE] AB=0.10bps BA=-0.11bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=0.08bps BA=-0.09bps | A=None | B=None
[EDGE] AB=-0.37bps BA=0.36bps | A=None | B=None
[EDGE] AB=-0.37bps BA=0.36bps | A=None | B=None
[EDGE] AB=-0.37bps BA=0.36bps | A=None | B=None
[EDGE] AB=-0.37bps BA=0.36bps | A=None | B=None
[EDGE] AB=-0.37bps BA=0.36bps | A=None | B=None
[EDGE] AB=0.71bps BA=-0.72bps | A=None | B=None
[EDGE] AB=1.64bps BA=-1.66bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=1.08bps BA=-1.09bps | A=None | B=None
[EDGE] AB=-0.09bps BA=0.08bps | A=None | B=None
[EDGE] AB=1.01bps BA=-1.02bps | A=None | B=None
[EDGE] AB=1.01bps BA=-1.02bps | A=None | B=None
[EDGE] AB=1.01bps BA=-1.02bps | A=None | B=None
[EDGE] AB=-0.08bps BA=0.06bps | A=None | B=None
[EDGE] AB=-0.08bps BA=0.06bps | A=None | B=None
[EDGE] AB=-0.08bps BA=0.06bps | A=None | B=None
[EDGE] AB=-0.39bps BA=0.38bps | A=None | B=None
[EDGE] AB=-0.39bps BA=0.38bps | A=None | B=None
[EDGE] AB=-0.39bps BA=0.38bps | A=None | B=None
[EDGE] AB=0.59bps BA=-0.60bps | A=None | B=None
[EDGE] AB=0.59bps BA=-0.60bps | A=None | B=None
[EDGE] AB=0.59bps BA=-0.60bps | A=None | B=None
[EDGE] AB=-1.95bps BA=0.19bps | A=None | B=None
[EDGE] AB=0.38bps BA=-0.39bps | A=None | B=None
[EDGE] AB=0.38bps BA=-0.39bps | A=None | B=None
[EDGE] AB=-0.68bps BA=0.66bps | A=None | B=None
[EDGE] AB=0.27bps BA=-0.28bps | A=None | B=None
[EDGE] AB=0.27bps BA=-0.28bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.93bps BA=0.92bps | A=None | B=None
[EDGE] AB=-0.00bps BA=-0.01bps | A=None | B=None
[EDGE] AB=-0.12bps BA=0.11bps | A=None | B=None
[EDGE] AB=0.37bps BA=-0.38bps | A=None | B=None
[EDGE] AB=-0.58bps BA=0.57bps | A=None | B=None
[EDGE] AB=-0.23bps BA=0.22bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=-0.24bps BA=0.23bps | A=None | B=None
[EDGE] AB=0.00bps BA=-0.01bps | A=None | B=None
[EDGE] AB=0.00bps BA=-0.01bps | A=None | B=None
[EDGE] AB=0.75bps BA=-0.76bps | A=None | B=None
[EDGE] AB=0.75bps BA=-0.76bps | A=None | B=None
[EDGE] AB=0.53bps BA=-0.54bps | A=None | B=None
